qid,ndcg@50
0,0.000000
1,0.386853
10,0.000000
100,0.315465
101,0.630930
102,0.386853
103,0.000000
104,0.000000
105,0.270238
106,0.630930
107,0.356207
108,0.630930
109,0.000000
11,0.000000
110,0.000000
111,0.000000
112,0.386853
113,0.000000
114,0.333333
115,0.356207
116,1.000000
117,0.386853
118,0.333333
119,0.000000
12,0.386853
120,0.000000
121,0.000000
122,1.000000
123,0.000000
124,0.000000
125,1.000000
126,0.000000
127,0.630930
128,0.000000
129,0.500000
13,0.613147
130,0.000000
131,0.000000
132,0.000000
133,0.430677
134,0.270238
135,0.000000
136,0.000000
137,0.000000
138,1.000000
139,0.000000
14,0.000000
140,0.270238
141,1.000000
142,0.000000
143,0.000000
144,0.000000
145,0.000000
146,0.630930
147,0.255958
148,1.000000
149,0.000000
15,0.000000
150,0.193426
151,0.630930
152,0.500000
153,0.630930
154,0.000000
155,0.000000
156,0.613147
157,0.000000
158,0.386853
159,0.000000
16,1.000000
160,1.000000
161,0.000000
162,0.000000
163,0.000000
164,0.289065
165,0.000000
166,0.000000
167,0.000000
168,0.000000
169,0.000000
17,0.000000
170,1.000000
171,0.500000
172,1.000000
173,0.000000
174,0.356207
175,1.000000
176,0.000000
177,0.356207
178,0.500000
179,0.000000
18,0.000000
180,0.239812
181,1.000000
182,0.000000
183,0.000000
184,0.500000
185,0.255958
186,0.630930
187,0.630930
188,0.000000
189,1.000000
19,0.333333
190,0.000000
191,0.430677
192,0.000000
193,0.000000
194,0.000000
195,0.630930
196,1.000000
197,0.262650
198,0.630930
199,0.000000
2,0.264068
20,1.000000
200,0.630930
201,0.239812
202,0.000000
203,1.000000
204,0.630930
205,0.000000
206,0.000000
207,0.000000
208,0.000000
209,0.000000
21,0.000000
210,1.000000
211,0.000000
212,0.000000
213,0.000000
214,0.000000
215,0.500000
216,0.278943
217,0.500000
218,0.000000
219,0.630930
22,1.000000
220,0.630930
221,0.000000
222,0.386853
223,1.000000
224,0.000000
225,0.231378
226,0.000000
227,0.386853
228,0.000000
229,0.301030
23,0.000000
230,0.000000
231,0.000000
232,0.630930
233,0.000000
234,0.000000
235,0.402983
236,0.000000
237,0.315465
238,0.000000
239,0.333333
24,0.000000
240,0.262650
241,0.000000
242,0.315465
243,1.000000
244,0.000000
245,0.000000
246,0.000000
247,0.430677
248,0.000000
249,0.000000
25,0.301030
250,0.000000
251,0.000000
252,0.000000
253,1.000000
254,0.630930
255,1.000000
256,0.630930
257,0.264068
258,0.630930
259,0.000000
26,0.361322
260,0.000000
261,0.000000
262,0.000000
264,0.000000
265,0.000000
266,0.000000
267,0.430677
268,0.000000
269,0.000000
27,1.000000
270,0.000000
271,0.356207
272,0.000000
273,0.270238
274,0.500000
275,1.000000
276,0.000000
277,0.315465
278,0.000000
279,0.255958
28,0.000000
280,0.333333
281,0.630930
282,0.000000
283,1.000000
284,0.500000
285,0.278943
286,1.000000
287,0.000000
288,0.315465
289,0.000000
29,1.000000
290,0.000000
291,0.000000
292,0.000000
293,1.000000
294,0.239812
295,1.000000
296,1.000000
297,0.000000
298,0.430677
299,0.000000
3,0.000000
30,0.000000
300,0.000000
301,0.301030
302,0.333333
303,0.000000
304,0.000000
305,0.500000
306,0.289065
307,0.000000
308,0.000000
309,1.000000
31,0.630930
310,0.500000
311,0.000000
312,0.000000
313,0.000000
314,0.000000
315,1.000000
316,0.500000
317,0.315465
318,0.500000
319,0.430677
32,0.630930
320,1.000000
321,0.000000
322,1.000000
323,1.000000
324,0.000000
325,0.333333
326,0.000000
327,1.000000
328,0.000000
329,1.000000
33,0.255958
330,0.630930
331,0.000000
332,0.000000
333,0.333333
334,0.000000
335,0.000000
336,0.000000
337,0.356207
338,1.000000
339,0.000000
34,0.000000
340,0.000000
341,0.000000
342,0.430677
343,0.000000
344,0.000000
345,1.000000
346,0.386853
347,0.000000
348,0.630930
349,0.000000
35,0.000000
350,0.000000
351,0.333333
352,0.301030
353,0.000000
354,0.278943
355,1.000000
356,0.000000
357,1.000000
358,0.386853
359,1.000000
36,0.000000
360,0.000000
361,0.430677
362,0.000000
363,0.000000
364,0.000000
365,1.000000
366,0.244651
367,0.430677
368,0.630930
369,0.000000
37,0.244651
370,0.630930
371,0.315465
372,0.500000
373,0.500000
374,0.270238
375,0.000000
376,1.000000
377,0.500000
378,0.000000
379,0.000000
38,0.386853
380,0.000000
381,1.000000
382,0.000000
383,1.000000
384,0.386853
385,0.630930
386,0.500000
387,1.000000
388,0.386853
389,0.301030
39,0.000000
390,0.000000
391,0.630930
392,0.000000
393,1.000000
394,0.630930
395,0.000000
396,1.000000
397,0.000000
398,0.000000
399,0.000000
4,0.000000
40,1.000000
400,0.630930
401,0.000000
402,1.000000
403,0.000000
404,0.000000
405,0.315465
406,1.000000
407,0.500000
408,0.000000
409,0.000000
41,0.000000
410,0.000000
411,0.000000
412,0.000000
413,0.630930
414,0.386853
415,0.000000
416,0.630930
417,0.630930
418,0.430677
419,0.430677
42,0.790386
420,0.000000
421,0.356207
422,0.000000
423,0.000000
424,0.430677
425,0.356207
426,0.000000
427,0.000000
428,0.000000
429,0.231378
43,1.000000
430,0.630930
431,0.000000
432,0.000000
433,0.000000
434,1.000000
435,1.000000
436,0.000000
437,0.000000
438,0.000000
439,0.000000
44,0.000000
440,0.315465
441,1.000000
442,1.000000
443,1.000000
444,0.386853
445,0.500000
446,0.333333
447,0.000000
448,1.000000
449,0.239812
45,0.289065
450,0.000000
451,0.000000
452,0.000000
453,0.000000
454,0.315465
455,0.500000
456,0.000000
457,0.000000
458,0.430677
459,1.000000
46,0.000000
460,0.000000
461,1.000000
462,0.356207
463,0.000000
464,1.000000
465,1.000000
466,0.000000
467,0.000000
468,0.000000
469,0.000000
47,0.244651
470,0.356207
471,0.235409
472,0.255958
473,0.000000
474,0.630930
475,0.000000
476,0.430677
477,0.000000
478,0.500000
479,0.630930
48,0.430677
480,0.000000
481,0.000000
482,1.000000
483,0.289065
484,0.301030
485,0.500000
486,1.000000
487,0.000000
488,0.386853
489,0.630930
49,0.000000
490,0.386853
491,1.000000
492,1.000000
493,1.000000
494,0.500000
495,0.000000
496,0.000000
497,1.000000
498,0.000000
499,0.000000
5,0.000000
50,0.000000
500,1.000000
501,0.500000
502,0.000000
503,1.000000
504,0.000000
505,0.500000
506,0.000000
507,0.000000
508,0.356207
509,0.000000
51,0.430677
510,0.000000
511,0.000000
512,0.000000
513,0.430677
514,0.235409
515,0.356207
516,1.000000
517,0.630930
518,0.333333
519,0.630930
52,0.356207
520,0.000000
521,0.386853
522,0.630930
523,0.333333
524,0.500000
525,1.000000
526,0.356207
527,1.000000
528,0.000000
529,0.500000
53,0.000000
530,1.000000
531,1.000000
532,1.000000
533,0.278943
534,0.000000
535,0.630930
536,1.000000
537,0.630930
538,0.000000
539,0.315465
54,1.000000
540,0.000000
541,1.000000
542,0.239812
543,0.386853
544,0.000000
545,0.500000
546,1.000000
547,0.500000
548,1.000000
549,0.231378
55,0.000000
550,0.000000
551,1.000000
552,0.000000
553,0.430677
554,0.000000
555,0.235409
556,0.000000
557,0.000000
558,0.000000
559,0.333333
56,0.000000
560,0.000000
561,1.000000
562,0.333333
563,0.356207
564,0.000000
565,0.500000
566,0.000000
567,1.000000
568,0.543771
569,0.630930
57,0.630930
570,0.500000
571,0.333333
572,0.630930
573,0.000000
574,0.000000
575,0.000000
576,1.000000
577,0.630930
578,0.500000
579,0.000000
58,0.000000
580,0.000000
581,0.000000
582,1.000000
583,0.630930
584,0.630930
585,0.386853
586,1.000000
587,0.386853
588,1.000000
589,1.000000
59,0.000000
590,0.000000
591,0.386853
592,0.000000
593,0.315465
594,0.500000
595,0.000000
596,1.000000
6,0.386853
60,0.000000
61,0.000000
62,0.000000
63,0.000000
64,0.500000
65,0.000000
66,0.000000
67,0.000000
68,0.613147
69,0.000000
7,1.000000
70,0.000000
71,0.000000
72,0.000000
73,0.301030
74,0.000000
75,0.000000
76,0.000000
77,1.000000
78,0.630930
79,0.430677
8,0.000000
80,0.613147
81,0.315465
82,0.262650
83,0.315465
84,0.000000
85,1.000000
86,0.000000
87,0.000000
88,1.000000
89,0.231378
9,1.000000
90,0.000000
91,0.000000
92,0.000000
93,0.000000
94,0.000000
95,0.000000
96,0.446153
97,0.000000
98,0.000000
99,0.386853
