qid,map
0,0.000000
1,0.200000
10,0.000000
100,0.000000
101,0.500000
102,0.125000
103,0.000000
104,0.200000
105,0.066667
106,1.000000
107,0.500000
108,1.000000
109,0.000000
11,0.000000
110,0.000000
111,0.000000
112,0.500000
113,0.080409
114,0.500000
115,0.200000
116,1.000000
117,0.250000
118,0.333333
119,0.000000
12,1.000000
120,0.076923
121,0.071429
122,0.500000
123,0.000000
124,0.000000
125,0.500000
126,0.000000
127,0.125000
128,0.000000
129,0.000000
13,0.500000
130,0.100000
131,0.100000
132,0.000000
133,0.200000
134,0.083333
135,0.000000
136,0.000000
137,0.000000
138,1.000000
139,0.333333
14,1.000000
140,0.500000
141,1.000000
142,0.000000
143,0.000000
144,0.090909
145,0.000000
146,0.500000
147,0.250000
148,1.000000
149,0.000000
15,0.333333
150,0.500000
151,0.500000
152,0.000000
153,0.000000
154,0.000000
155,0.000000
156,0.250000
157,0.000000
158,1.000000
159,0.000000
16,1.000000
160,0.500000
161,0.000000
162,0.000000
163,0.000000
164,0.000000
165,0.500000
166,0.500000
167,1.000000
168,0.000000
169,0.076923
17,0.000000
170,0.500000
171,0.267857
172,0.500000
173,0.111111
174,0.333333
175,0.250000
176,0.000000
177,0.500000
178,1.000000
179,0.000000
18,0.000000
180,0.000000
181,1.000000
182,0.000000
183,0.333333
184,0.166667
185,0.000000
186,1.000000
187,1.000000
188,0.000000
189,1.000000
19,1.000000
190,0.333333
191,0.333333
192,0.076923
193,0.000000
194,0.000000
195,0.000000
196,0.166667
197,0.000000
198,1.000000
199,0.000000
2,0.250000
20,0.142857
200,1.000000
201,1.000000
202,0.500000
203,1.000000
204,1.000000
205,0.000000
206,0.000000
207,0.333333
208,0.000000
209,0.000000
21,0.100000
210,0.250000
211,0.000000
212,1.000000
213,0.000000
214,0.500000
215,0.500000
216,0.000000
217,0.333333
218,0.000000
219,0.125000
22,0.500000
220,0.333333
221,0.000000
222,0.500000
223,1.000000
224,0.000000
225,0.076923
226,0.000000
227,1.000000
228,0.000000
229,0.000000
23,0.000000
230,0.000000
231,0.000000
232,0.166667
233,1.000000
234,0.500000
235,0.416667
236,0.000000
237,1.000000
238,0.000000
239,0.500000
24,0.000000
240,0.200000
241,0.000000
242,0.333333
243,0.166667
244,0.000000
245,0.000000
246,0.200000
247,0.125000
248,0.000000
249,0.333333
25,0.000000
250,0.111111
251,0.000000
252,0.000000
253,0.200000
254,1.000000
255,1.000000
256,0.142857
257,0.500000
258,0.000000
259,0.333333
26,0.208333
260,0.000000
261,0.000000
262,0.000000
264,0.062500
265,0.000000
266,0.125000
267,0.333333
