qid,map
0,0.000000
1,0.200000
10,0.000000
100,0.125000
101,0.500000
102,0.250000
103,0.000000
104,0.000000
105,0.083333
106,0.500000
107,0.166667
108,0.500000
109,0.000000
11,0.000000
110,0.000000
111,0.000000
112,0.200000
113,0.000000
114,0.142857
115,0.166667
116,1.000000
117,0.200000
118,0.142857
119,0.000000
12,0.250000
120,0.000000
121,0.000000
122,1.000000
123,0.000000
124,0.000000
125,1.000000
126,0.000000
127,0.500000
128,0.000000
129,0.333333
13,0.500000
130,0.000000
131,0.000000
132,0.000000
133,0.250000
134,0.083333
135,0.000000
136,0.000000
137,0.000000
138,1.000000
139,0.000000
14,0.000000
140,0.083333
141,1.000000
142,0.000000
143,0.000000
144,0.000000
145,0.000000
146,0.500000
147,0.071429
148,1.000000
149,0.000000
15,0.000000
150,0.062500
151,0.500000
152,0.333333
153,0.500000
154,0.000000
155,0.000000
156,0.500000
157,0.000000
158,0.200000
159,0.000000
16,1.000000
160,1.000000
161,0.000000
162,0.000000
163,0.000000
164,0.100000
165,0.000000
166,0.000000
167,0.000000
168,0.000000
169,0.000000
17,0.000000
170,1.000000
171,0.291667
172,1.000000
173,0.000000
174,0.166667
175,1.000000
176,0.000000
177,0.166667
178,0.333333
179,0.000000
18,0.000000
180,0.058824
181,1.000000
182,0.000000
183,0.000000
184,0.333333
185,0.071429
186,0.500000
187,0.500000
188,0.000000
189,1.000000
19,0.142857
190,0.000000
191,0.250000
192,0.000000
193,0.000000
194,0.000000
195,0.500000
196,1.000000
197,0.076923
198,0.500000
199,0.000000
2,0.125000
20,1.000000
200,0.500000
201,0.058824
202,0.000000
203,1.000000
204,0.500000
205,0.000000
206,0.000000
207,0.000000
208,0.000000
209,0.000000
21,0.000000
210,1.000000
211,0.000000
212,0.000000
213,0.000000
214,0.000000
215,0.333333
216,0.090909
217,0.333333
218,0.000000
219,0.500000
22,1.000000
220,0.500000
221,0.000000
222,0.200000
223,1.000000
224,0.000000
225,0.052632
226,0.000000
227,0.200000
228,0.000000
229,0.111111
23,0.000000
230,0.000000
231,0.000000
232,0.500000
233,0.000000
234,0.000000
235,0.194444
236,0.000000
237,0.125000
238,0.000000
239,0.142857
24,0.000000
240,0.076923
241,0.000000
242,0.125000
243,1.000000
244,0.000000
245,0.000000
246,0.000000
247,0.250000
248,0.000000
249,0.000000
25,0.111111
250,0.000000
251,0.000000
252,0.000000
253,1.000000
254,0.500000
255,1.000000
256,0.500000
257,0.125000
258,0.500000
259,0.000000
26,0.142857
260,0.000000
261,0.000000
262,0.000000
264,0.000000
265,0.000000
266,0.000000
267,0.250000
