qid,map
0,0.000000
1,0.000000
10,0.000000
100,0.071429
101,0.000000
102,0.000000
103,0.000000
104,0.000000
105,0.000000
106,0.000000
107,0.000000
108,1.000000
109,0.000000
11,0.000000
110,0.000000
111,0.000000
112,0.166667
113,0.325000
114,0.047619
115,0.000000
116,0.076923
117,0.200000
118,1.000000
119,0.000000
12,0.000000
120,0.000000
121,0.041667
122,0.111111
123,0.000000
124,0.000000
125,0.040000
126,0.000000
127,0.000000
128,0.000000
129,0.000000
13,0.000000
130,0.000000
131,0.000000
132,0.000000
133,1.000000
134,0.000000
135,0.000000
136,0.000000
137,0.000000
138,0.000000
139,0.333333
14,0.076923
140,0.043478
141,0.083333
142,0.000000
143,0.000000
144,0.000000
145,0.000000
146,0.000000
147,0.000000
148,0.020833
149,0.000000
15,0.000000
150,0.000000
151,0.000000
152,0.000000
153,0.125000
154,0.000000
155,0.000000
156,0.000000
157,0.000000
158,0.000000
159,0.000000
16,0.250000
160,0.000000
161,0.027027
162,0.000000
163,0.000000
164,0.000000
165,0.000000
166,0.000000
167,0.000000
168,0.000000
169,0.000000
17,0.000000
170,0.021277
171,0.126812
172,1.000000
173,0.000000
174,0.333333
175,0.166667
176,0.000000
177,0.000000
178,0.500000
179,0.000000
18,0.000000
180,0.000000
181,0.333333
182,0.142857
183,0.166667
184,0.200000
185,0.000000
186,0.250000
187,0.000000
188,0.000000
189,0.000000
19,0.066667
190,0.000000
191,0.000000
192,0.250000
193,0.000000
194,0.000000
195,0.000000
196,0.000000
197,0.000000
198,0.000000
199,0.000000
2,0.166667
20,0.037037
200,1.000000
201,0.200000
202,0.000000
203,0.000000
204,0.000000
205,0.000000
206,0.031250
207,0.000000
208,0.000000
209,0.000000
21,0.000000
210,0.000000
211,0.021739
212,0.000000
213,0.000000
214,0.000000
215,0.000000
216,0.000000
217,0.000000
218,0.000000
219,0.000000
22,0.500000
220,0.000000
221,0.000000
222,0.000000
223,0.000000
224,0.000000
225,0.000000
226,0.000000
227,0.000000
228,0.000000
229,0.000000
23,0.000000
230,0.000000
231,0.000000
232,0.142857
233,0.333333
234,0.000000
235,0.416667
236,0.000000
237,1.000000
238,0.000000
239,0.166667
24,0.000000
240,1.000000
241,0.000000
242,0.000000
243,0.000000
244,0.000000
245,0.500000
246,0.000000
247,0.000000
248,0.333333
249,0.000000
25,0.000000
250,0.000000
251,0.000000
252,0.000000
253,0.021739
254,0.000000
255,0.000000
256,0.000000
257,0.000000
258,0.058824
259,0.000000
26,0.125000
260,0.000000
261,0.000000
262,0.000000
263,0.083333
264,0.000000
265,0.000000
266,1.000000
267,0.000000
268,0.000000
269,0.000000
27,1.000000
270,0.000000
271,0.000000
272,0.000000
273,0.000000
274,0.500000
275,0.125000
276,0.000000
277,0.023256
278,0.000000
279,0.062500
28,0.000000
280,0.030303
281,0.083333
282,0.043478
283,1.000000
284,1.000000
285,0.000000
286,1.000000
287,0.200000
288,0.026316
289,0.032258
29,0.142857
290,0.000000
291,0.028571
