qid,p@50
0,0.000000
1,0.020000
10,0.000000
100,0.020000
101,0.000000
102,0.020000
103,0.020000
104,0.000000
105,0.000000
106,0.020000
107,0.000000
108,0.020000
109,0.000000
11,0.000000
110,0.000000
111,0.000000
112,0.020000
113,0.040000
114,0.020000
115,0.000000
116,0.020000
117,0.020000
118,0.020000
119,0.000000
12,0.000000
120,0.020000
121,0.020000
122,0.020000
123,0.000000
124,0.000000
125,0.020000
126,0.020000
127,0.000000
128,0.000000
129,0.020000
13,0.000000
130,0.000000
131,0.000000
132,0.000000
133,0.020000
134,0.020000
135,0.000000
136,0.000000
137,0.000000
138,0.020000
139,0.020000
14,0.020000
140,0.020000
141,0.020000
142,0.000000
143,0.000000
144,0.000000
145,0.000000
146,0.000000
147,0.000000
148,0.020000
149,0.000000
15,0.000000
150,0.000000
151,0.020000
152,0.020000
153,0.020000
154,0.000000
155,0.000000
156,0.020000
157,0.000000
158,0.000000
159,0.000000
16,0.020000
160,0.020000
161,0.000000
162,0.000000
163,0.000000
164,0.000000
165,0.000000
166,0.000000
167,0.000000
168,0.000000
169,0.000000
17,0.000000
170,0.000000
171,0.020000
172,0.020000
173,0.000000
174,0.020000
175,0.020000
176,0.000000
177,0.000000
178,0.020000
179,0.000000
18,0.000000
180,0.000000
181,0.020000
182,0.020000
183,0.020000
184,0.020000
185,0.000000
186,0.020000
187,0.020000
188,0.000000
189,0.000000
19,0.020000
190,0.000000
191,0.000000
192,0.020000
193,0.000000
194,0.000000
195,0.000000
196,0.020000
197,0.000000
198,0.020000
199,0.000000
2,0.020000
20,0.000000
200,0.020000
201,0.020000
202,0.000000
203,0.020000
204,0.020000
205,0.000000
206,0.020000
207,0.000000
208,0.000000
209,0.000000
21,0.000000
210,0.020000
211,0.000000
212,0.000000
213,0.000000
214,0.000000
215,0.020000
216,0.000000
217,0.000000
218,0.000000
219,0.000000
22,0.020000
220,0.000000
221,0.000000
222,0.020000
223,0.020000
224,0.000000
225,0.000000
226,0.000000
227,0.020000
228,0.000000
229,0.000000
23,0.000000
230,0.000000
231,0.000000
232,0.020000
233,0.020000
234,0.000000
235,0.040000
236,0.000000
237,0.020000
238,0.000000
239,0.020000
24,0.000000
240,0.020000
241,0.000000
242,0.020000
243,0.020000
244,0.000000
245,0.020000
246,0.000000
247,0.020000
248,0.020000
249,0.000000
25,0.000000
250,0.000000
251,0.000000
252,0.000000
253,0.020000
254,0.020000
255,0.020000
256,0.000000
257,0.000000
258,0.020000
259,0.000000
26,0.020000
260,0.000000
261,0.000000
262,0.000000
263,0.020000
264,0.020000
265,0.000000
266,0.020000
267,0.020000
268,0.020000
269,0.000000
27,0.020000
270,0.020000
271,0.000000
272,0.000000
273,0.000000
274,0.020000
275,0.020000
276,0.020000
277,0.020000
278,0.000000
279,0.020000
28,0.020000
280,0.020000
281,0.020000
282,0.020000
283,0.020000
284,0.020000
285,0.000000
286,0.020000
287,0.020000
288,0.020000
289,0.020000
29,0.020000
290,0.020000
291,0.020000
292,0.000000
293,0.020000
294,0.020000
295,0.020000
296,0.000000
297,0.000000
298,0.020000
299,0.000000
3,0.000000
30,0.000000
300,0.000000
301,0.000000
302,0.000000
303,0.000000
304,0.000000
305,0.020000
306,0.000000
307,0.020000
308,0.000000
309,0.020000
31,0.020000
310,0.000000
311,0.000000
312,0.000000
313,0.020000
314,0.000000
315,0.000000
316,0.020000
317,0.020000
318,0.000000
319,0.000000
32,0.020000
320,0.000000
321,0.000000
322,0.020000
323,0.000000
324,0.000000
325,0.000000
326,0.000000
327,0.020000
328,0.020000
329,0.000000
33,0.020000
330,0.020000
331,0.000000
332,0.020000
333,0.000000
334,0.000000
335,0.000000
336,0.000000
337,0.000000
338,0.020000
339,0.020000
34,0.000000
340,0.000000
341,0.000000
342,0.000000
343,0.000000
344,0.000000
345,0.020000
346,0.000000
347,0.000000
348,0.000000
349,0.020000
35,0.000000
350,0.000000
351,0.020000
352,0.000000
353,0.000000
354,0.000000
355,0.020000
356,0.000000
357,0.020000
358,0.020000
359,0.020000
36,0.000000
360,0.000000
361,0.020000
362,0.000000
363,0.000000
364,0.000000
365,0.020000
366,0.000000
367,0.020000
368,0.020000
369,0.000000
37,0.000000
370,0.020000
371,0.000000
372,0.000000
373,0.020000
374,0.020000
375,0.000000
376,0.020000
377,0.020000
378,0.000000
379,0.020000
38,0.020000
380,0.000000
381,0.000000
382,0.000000
383,0.000000
384,0.000000
385,0.000000
386,0.020000
387,0.020000
388,0.020000
389,0.000000
39,0.000000
390,0.000000
391,0.020000
392,0.020000
393,0.000000
394,0.000000
395,0.000000
396,0.020000
397,0.000000
398,0.020000
399,0.020000
4,0.000000
40,0.000000
400,0.020000
401,0.000000
402,0.020000
403,0.000000
404,0.000000
405,0.020000
406,0.020000
407,0.020000
408,0.000000
409,0.000000
41,0.000000
410,0.020000
411,0.000000
412,0.020000
413,0.020000
414,0.000000
415,0.020000
416,0.000000
417,0.020000
418,0.020000
419,0.000000
42,0.040000
420,0.020000
421,0.020000
422,0.000000
423,0.020000
424,0.020000
425,0.020000
426,0.000000
427,0.000000
428,0.020000
429,0.020000
43,0.000000
430,0.020000
431,0.020000
432,0.000000
433,0.000000
434,0.020000
435,0.020000
436,0.000000
437,0.020000
438,0.020000
439,0.020000
44,0.000000
440,0.020000
441,0.020000
442,0.020000
443,0.020000
444,0.000000
445,0.000000
446,0.020000
447,0.020000
448,0.020000
449,0.000000
45,0.020000
450,0.020000
451,0.000000
452,0.020000
453,0.020000
454,0.000000
455,0.020000
456,0.020000
457,0.020000
458,0.020000
459,0.020000
46,0.020000
460,0.020000
461,0.020000
462,0.020000
463,0.020000
464,0.020000
465,0.020000
466,0.000000
467,0.000000
468,0.000000
469,0.020000
47,0.000000
470,0.020000
471,0.020000
472,0.000000
473,0.000000
474,0.020000
475,0.000000
476,0.020000
477,0.020000
478,0.020000
479,0.000000
48,0.020000
480,0.000000
481,0.020000
482,0.000000
483,0.020000
484,0.000000
485,0.020000
486,0.020000
487,0.000000
488,0.020000
489,0.000000
49,0.000000
490,0.020000
491,0.020000
492,0.020000
493,0.020000
494,0.020000
495,0.000000
496,0.000000
497,0.020000
498,0.020000
499,0.020000
5,0.020000
50,0.020000
500,0.020000
501,0.000000
502,0.000000
503,0.020000
504,0.000000
505,0.020000
506,0.000000
507,0.000000
508,0.020000
509,0.000000
51,0.000000
510,0.000000
511,0.000000
512,0.000000
513,0.020000
514,0.000000
515,0.000000
516,0.020000
517,0.000000
518,0.020000
519,0.000000
52,0.000000
520,0.000000
521,0.000000
522,0.020000
523,0.020000
524,0.000000
525,0.020000
526,0.020000
527,0.000000
528,0.020000
529,0.000000
53,0.020000
530,0.020000
531,0.020000
532,0.000000
533,0.020000
534,0.020000
535,0.020000
536,0.020000
537,0.020000
538,0.000000
539,0.020000
54,0.020000
540,0.000000
541,0.020000
542,0.020000
543,0.000000
544,0.000000
545,0.020000
546,0.020000
547,0.020000
548,0.020000
549,0.020000
55,0.000000
550,0.000000
551,0.020000
552,0.000000
553,0.020000
554,0.000000
555,0.000000
556,0.000000
557,0.020000
558,0.000000
559,0.000000
56,0.000000
560,0.000000
561,0.020000
562,0.020000
563,0.000000
564,0.000000
565,0.000000
566,0.000000
567,0.020000
568,0.040000
569,0.020000
57,0.020000
570,0.020000
571,0.020000
572,0.000000
573,0.020000
574,0.020000
575,0.000000
576,0.000000
577,0.020000
578,0.020000
579,0.020000
58,0.000000
580,0.000000
581,0.000000
582,0.020000
583,0.020000
584,0.000000
585,0.020000
586,0.000000
587,0.020000
588,0.020000
589,0.020000
59,0.000000
590,0.000000
591,0.000000
592,0.000000
593,0.000000
594,0.020000
595,0.000000
596,0.020000
6,0.020000
60,0.000000
61,0.000000
62,0.000000
63,0.000000
64,0.000000
65,0.000000
66,0.000000
67,0.000000
68,0.020000
69,0.000000
7,0.020000
70,0.000000
71,0.000000
72,0.020000
73,0.020000
74,0.020000
75,0.000000
76,0.000000
77,0.000000
78,0.000000
79,0.000000
8,0.040000
80,0.000000
81,0.020000
82,0.000000
83,0.020000
84,0.000000
85,0.000000
86,0.000000
87,0.000000
88,0.000000
89,0.020000
9,0.000000
90,0.020000
91,0.020000
92,0.000000
93,0.000000
94,0.000000
95,0.000000
96,0.040000
97,0.020000
98,0.020000
99,0.000000
