qid,ndcg@50
0,0.000000
1,0.386853
10,0.000000
100,0.000000
101,0.630930
102,0.264068
103,0.000000
104,0.386853
105,0.250000
106,1.000000
107,0.630930
108,1.000000
109,0.000000
11,0.000000
110,0.000000
111,0.000000
112,0.630930
113,0.286209
114,0.630930
115,0.386853
116,1.000000
117,0.430677
118,0.500000
119,0.000000
12,1.000000
120,0.262650
121,0.255958
122,0.630930
123,0.000000
124,0.000000
125,0.630930
126,0.000000
127,0.315465
128,0.000000
129,0.000000
13,0.613147
130,0.289065
131,0.289065
132,0.000000
133,0.386853
134,0.270238
135,0.000000
136,0.000000
137,0.000000
138,1.000000
139,0.500000
14,1.000000
140,0.630930
141,1.000000
142,0.000000
143,0.000000
144,0.278943
145,0.000000
146,0.630930
147,0.430677
148,1.000000
149,0.000000
15,0.500000
150,0.613147
151,0.630930
152,0.000000
153,0.000000
154,0.000000
155,0.000000
156,0.386853
157,0.000000
158,1.000000
159,0.000000
16,1.000000
160,0.630930
161,0.000000
162,0.000000
163,0.000000
164,0.000000
165,0.630930
166,0.630930
167,1.000000
168,0.000000
169,0.262650
17,0.000000
170,0.630930
171,0.468451
172,0.630930
173,0.301030
174,0.500000
175,0.430677
176,0.000000
177,0.630930
178,1.000000
179,0.000000
18,0.000000
180,0.000000
181,1.000000
182,0.000000
183,0.500000
184,0.356207
185,0.000000
186,1.000000
187,1.000000
188,0.000000
189,1.000000
19,1.000000
190,0.500000
191,0.500000
192,0.262650
193,0.000000
194,0.000000
195,0.000000
196,0.356207
197,0.000000
198,1.000000
199,0.000000
2,0.386853
20,0.333333
200,1.000000
201,1.000000
202,0.630930
203,1.000000
204,1.000000
205,0.000000
206,0.000000
207,0.500000
208,0.000000
209,0.000000
21,0.289065
210,0.430677
211,0.000000
212,1.000000
213,0.000000
214,0.630930
215,0.630930
216,0.000000
217,0.500000
218,0.000000
219,0.315465
22,0.630930
220,0.500000
221,0.000000
222,0.630930
223,1.000000
224,0.000000
225,0.262650
226,0.000000
227,1.000000
228,0.000000
229,0.000000
23,0.000000
230,0.000000
231,0.000000
232,0.356207
233,1.000000
234,0.630930
235,0.570642
236,0.000000
237,1.000000
238,0.000000
239,0.630930
24,0.000000
240,0.386853
241,0.000000
242,0.500000
243,0.356207
244,0.000000
245,0.000000
246,0.386853
247,0.315465
248,0.000000
249,0.500000
25,0.000000
250,0.301030
251,0.000000
252,0.000000
253,0.386853
254,1.000000
255,1.000000
256,0.333333
257,0.613147
258,0.000000
259,0.500000
26,0.411834
260,0.000000
261,0.000000
262,0.000000
264,0.244651
265,0.000000
266,0.315465
267,0.500000
268,1.000000
269,0.000000
27,1.000000
270,0.630930
271,0.239812
272,0.000000
273,1.000000
274,0.630930
275,0.500000
276,0.333333
277,0.301030
278,0.000000
279,0.430677
28,0.000000
280,0.270238
281,1.000000
282,0.333333
283,1.000000
284,0.630930
285,0.430677
286,1.000000
287,0.244651
288,0.000000
289,0.000000
29,0.301030
290,0.356207
291,0.630930
292,0.000000
293,1.000000
294,0.386853
295,0.630930
296,0.333333
297,0.000000
298,0.500000
299,1.000000
3,0.000000
30,0.000000
300,0.000000
301,0.630930
302,0.430677
303,0.000000
304,0.250000
305,0.630930
306,0.000000
307,0.000000
308,0.000000
309,0.630930
31,1.000000
310,0.000000
311,0.000000
312,0.000000
313,0.630930
314,0.693426
315,1.000000
316,0.356207
317,0.630930
318,0.500000
319,0.630930
32,1.000000
320,1.000000
321,0.289065
322,1.000000
323,0.630930
324,0.000000
325,0.000000
326,0.000000
327,0.630930
328,0.000000
329,0.630930
33,0.630930
330,1.000000
331,0.000000
332,0.000000
333,0.500000
334,0.000000
335,0.165696
336,0.356207
337,0.000000
338,0.386853
339,1.000000
34,0.000000
340,0.000000
341,0.000000
342,0.386853
343,1.000000
344,0.430677
345,1.000000
346,0.000000
347,0.000000
348,0.000000
349,0.000000
35,0.000000
350,0.000000
351,0.386853
352,0.000000
353,0.000000
354,0.630930
355,0.333333
356,0.000000
357,0.333333
358,0.430677
359,0.630930
36,0.630930
360,0.000000
361,0.500000
362,0.000000
363,0.000000
364,0.000000
365,0.500000
366,0.333333
367,1.000000
368,0.000000
369,0.000000
37,1.000000
370,0.500000
371,1.000000
372,0.386853
373,0.333333
374,0.630930
375,0.333333
376,1.000000
377,0.500000
378,0.000000
379,0.356207
38,1.000000
380,0.000000
381,0.356207
382,0.000000
383,0.000000
384,0.386853
385,0.430677
386,0.500000
387,1.000000
388,0.386853
389,0.500000
39,0.000000
390,0.630930
391,0.301030
392,0.000000
393,0.630930
394,0.500000
395,0.000000
396,0.356207
397,0.301030
398,0.000000
399,0.000000
4,0.000000
40,0.630930
400,0.630930
401,1.000000
402,0.630930
403,0.000000
404,0.000000
405,0.255958
406,0.500000
407,1.000000
408,0.000000
409,0.000000
41,0.000000
410,0.000000
411,0.000000
412,0.386853
413,0.278943
414,0.500000
415,0.000000
416,1.000000
417,0.356207
418,0.278943
419,0.500000
42,0.237198
420,0.000000
421,0.000000
422,0.301030
423,0.000000
424,0.500000
425,1.000000
426,0.244651
427,0.000000
428,0.000000
429,0.000000
43,1.000000
430,0.630930
431,0.000000
432,0.000000
433,0.000000
434,1.000000
435,0.430677
436,1.000000
437,0.000000
438,0.630930
439,0.630930
44,0.000000
440,0.430677
441,1.000000
442,0.333333
443,1.000000
444,0.000000
445,1.000000
446,0.500000
447,0.333333
448,1.000000
449,1.000000
45,1.000000
450,0.500000
451,0.000000
452,0.000000
453,0.270238
454,0.356207
455,1.000000
456,0.262650
457,1.000000
458,0.000000
459,0.630930
46,0.000000
460,0.000000
461,1.000000
462,0.000000
463,0.630930
464,0.630930
465,1.000000
466,0.278943
467,0.000000
468,0.000000
469,0.000000
47,0.386853
470,0.356207
471,0.500000
472,0.289065
473,0.000000
474,1.000000
475,0.000000
476,0.356207
477,0.000000
478,1.000000
479,0.315465
48,1.000000
480,0.000000
481,0.000000
482,0.630930
483,1.000000
484,0.315465
485,1.000000
486,0.000000
487,0.430677
488,1.000000
489,1.000000
49,0.000000
490,0.386853
491,0.430677
492,0.386853
493,0.000000
494,0.315465
495,0.000000
496,0.000000
497,1.000000
498,0.430677
499,0.500000
5,0.500000
50,0.301030
500,0.356207
501,1.000000
502,0.000000
503,1.000000
504,0.000000
505,0.000000
506,0.000000
507,0.000000
508,0.630930
509,0.000000
51,0.278943
510,0.430677
511,0.630930
512,1.000000
513,1.000000
514,0.000000
515,0.000000
516,0.500000
517,0.000000
518,1.000000
519,0.500000
52,0.500000
520,0.315465
521,0.000000
522,0.000000
523,0.500000
524,0.333333
525,0.630930
526,0.630930
527,0.333333
528,0.630930
529,0.630930
53,0.177239
530,1.000000
531,0.430677
532,0.430677
533,0.000000
534,0.630930
535,0.430677
536,0.000000
537,1.000000
538,0.000000
539,0.289065
54,1.000000
540,1.000000
541,0.500000
542,0.000000
543,0.000000
544,0.000000
545,1.000000
546,0.630930
547,0.315465
548,1.000000
549,0.000000
55,0.000000
550,0.000000
551,0.500000
552,0.386853
553,0.239812
554,0.000000
555,0.386853
556,0.000000
557,0.000000
558,0.630930
559,0.430677
56,0.000000
560,0.000000
561,1.000000
562,0.386853
563,1.000000
564,0.255958
565,0.000000
566,0.000000
567,0.430677
568,0.693426
569,1.000000
57,0.630930
570,0.630930
571,0.000000
572,1.000000
573,1.000000
574,0.386853
575,0.356207
576,0.386853
577,1.000000
578,0.000000
579,0.270238
58,0.000000
580,1.000000
581,1.000000
582,1.000000
583,0.630930
584,1.000000
585,1.000000
586,0.000000
587,0.386853
588,1.000000
589,0.630930
59,0.000000
590,0.000000
591,0.000000
592,0.000000
593,0.000000
594,0.000000
595,0.000000
596,1.000000
6,0.278943
60,0.000000
61,0.630930
62,0.000000
63,0.000000
64,0.630930
65,0.797723
66,0.278943
67,0.000000
68,0.543771
69,0.301030
7,0.630930
70,0.000000
71,0.430677
72,0.000000
73,0.430677
74,0.613147
75,0.000000
76,1.000000
77,0.630930
78,0.000000
79,1.000000
8,0.302812
80,0.850345
81,1.000000
82,0.386853
83,0.000000
84,0.000000
85,0.500000
86,0.231378
87,0.000000
88,0.500000
89,0.386853
9,0.000000
90,0.356207
91,0.000000
92,0.000000
93,0.177239
94,1.000000
95,0.114809
96,0.508740
97,0.500000
98,0.000000
99,0.356207
